Domain name,Domain type,Agency,Organization name,City,State,Security contact email
uscapitolgiftstore.gov,Federal - Legislative,Architect of the Capitol,Architect of the Capitol,Washington,DC,DOMSEC@aoc.gov
uscapitol.gov,Federal - Legislative,Architect of the Capitol,Architect of the Capitol,Washington,DC,DOMSEC@aoc.gov
visitthecapital.gov,Federal - Legislative,Architect of the Capitol,Architect of the Capitol,Washington,DC,DOMSEC@aoc.gov
visitthecapitol.gov,Federal - Legislative,Architect of the Capitol,Architect of the Capitol,Washington,DC,DOMSEC@aoc.gov
cbo.gov,Federal - Legislative,Congressional Budget Office,Congressional Budget Office,Washington,DC,jesus.salang@cbo.gov
cbonews.gov,Federal - Legislative,Congressional Budget Office,Congressional Budget Office,Washington,DC,jesus.salang@cbo.gov
solarium.gov,Federal - Legislative,Cyberspace Solarium Commission,Cyberspace Solarium Commission,Arlington,VA,(blank)
eseclab.gov,Federal - Legislative,Government Accountability Office,Government Accountability Office,Washington,DC,soc@gao.gov
fasab.gov,Federal - Legislative,Government Accountability Office,FASAB,Washington,DC,(blank)
gao.gov,Federal - Legislative,Government Accountability Office,Government Accountability Office,Washington,DC,(blank)
gaoinnovation.gov,Federal - Legislative,Government Accountability Office,Government Accountability Office,Washington,DC,(blank)
gaoinnovationlab.gov,Federal - Legislative,Government Accountability Office,Government Accountability Office,Washington,DC,(blank)
gaoinnovations.gov,Federal - Legislative,Government Accountability Office,Government Accountability Office,Washington,DC,(blank)
gaonet.gov,Federal - Legislative,Government Accountability Office,Government Accountability Office,Washington,DC,(blank)
congressionaldirectory.gov,Federal - Legislative,Government Publishing Office,Government Publishing Office,Washington,DC,gpossl@gpo.gov
congressionalrecord.gov,Federal - Legislative,Government Publishing Office,Government Publishing Office,Washington,DC,gpossl@gpo.gov
ecfr.gov,Federal - Legislative,Government Publishing Office,Government Publishing Office,Washington,DC,gpossl@gpo.gov
fdlp.gov,Federal - Legislative,Government Publishing Office,Government Publishing Office,Washington,DC,gpossl@gpo.gov
fdsys.gov,Federal - Legislative,Government Publishing Office,Government Publishing Office,Washington,DC,gpossl@gpo.gov
federalregister.gov,Federal - Legislative,Government Publishing Office,Government Publishing Office,Washington,DC,gpossl@gpo.gov
fedreg.gov,Federal - Legislative,Government Publishing Office,Government Publishing Office,Washington,DC,gpossl@gpo.gov
govinfo.gov,Federal - Legislative,Government Publishing Office,Government Publishing Office,Washington,DC,gpossl@gpo.gov
gpodev.gov,Federal - Legislative,Government Publishing Office,Government Publishing Office,Washington,DC,gpossl@gpo.gov
gpo.gov,Federal - Legislative,Government Publishing Office,Government Publishing Office,Washington,DC,(blank)
housecalendar.gov,Federal - Legislative,Government Publishing Office,Government Publishing Office,Washington,DC,gpossl@gpo.gov
ofr.gov,Federal - Legislative,Government Publishing Office,Government Publishing Office,Washington,DC,gpossl@gpo.gov
presidentialdocuments.gov,Federal - Legislative,Government Publishing Office,Government Publishing Office,Washington,DC,gpossl@gpo.gov
senatecalendar.gov,Federal - Legislative,Government Publishing Office,Government Publishing Office,Washington,DC,gpossl@gpo.gov
uscode.gov,Federal - Legislative,Government Publishing Office,Government Publishing Office,Washington,DC,gpossl@gpo.gov
usgovernmentmanual.gov,Federal - Legislative,Government Publishing Office,Office of Federal Register (NF),College Park,MD,gpossl@gpo.gov
africanamericanhistorymonth.gov,Federal - Legislative,Library of Congress,Library of Congress,Washington,DC,security@loc.gov
americanmemory.gov,Federal - Legislative,Library of Congress,Library of Congress,Washington,DC,security@loc.gov
americaslibrary.gov,Federal - Legislative,Library of Congress,Library of Congress,Washington,DC,security@loc.gov
asianpacificheritage.gov,Federal - Legislative,Library of Congress,Library of Congress,Washington,DC,security@loc.gov
blackhistorymonth.gov,Federal - Legislative,Library of Congress,Library of Congress,Washington,DC,security@loc.gov
ccb.gov,Federal - Legislative,Library of Congress,Library of Congress,Washington,DC,security@loc.gov
congress.gov,Federal - Legislative,Library of Congress,Library of Congress,Washington,DC,security@loc.gov
copyrightclaimsboard.gov,Federal - Legislative,Library of Congress,Library of Congress,Washington,DC,security@loc.gov
copyright.gov,Federal - Legislative,Library of Congress,Library of Congress,Washington,DC,security@loc.gov
crb.gov,Federal - Legislative,Library of Congress,Copyright Royalty Board,Washington,DC,security@loc.gov
crs.gov,Federal - Legislative,Library of Congress,Congressional Research Service,Washington,DC,security@loc.gov
currencyreaderapplication.gov,Federal - Legislative,Library of Congress,Library of Congress,WASHINGTON,DC,security@loc.gov
currencyreader.gov,Federal - Legislative,Library of Congress,Library of Congress,WASHINGTON,DC,security@loc.gov
digitalpreservation.gov,Federal - Legislative,Library of Congress,Library of Congress,Washington,DC,security@loc.gov
digitizationguidelines.gov,Federal - Legislative,Library of Congress,Library of Congress,Washington,DC,security@loc.gov
hispanicheritagemonth.gov,Federal - Legislative,Library of Congress,Library of Congress,Washington,DC,security@loc.gov
jewishheritage.gov,Federal - Legislative,Library of Congress,Library of Congress,Washington,DC,security@loc.gov
jewishheritagemonth.gov,Federal - Legislative,Library of Congress,Library of Congress,Washington,DC,security@loc.gov
law.gov,Federal - Legislative,Library of Congress,Library of Congress,Washington,DC,security@loc.gov
lctl.gov,Federal - Legislative,Library of Congress,Library of Congress,Washington,DC,security@loc.gov
libraryofcongress.gov,Federal - Legislative,Library of Congress,Library of Congress,Washington,DC,security@loc.gov
lis.gov,Federal - Legislative,Library of Congress,Library of Congress,Washington,DC,security@loc.gov
literacy.gov,Federal - Legislative,Library of Congress,Library of Congress,Washington,DC,security@loc.gov
loc.gov,Federal - Legislative,Library of Congress,Library of Congress,Washington,DC,security@loc.gov
loctest.gov,Federal - Legislative,Library of Congress,Library of Congress,Washington,DC,(blank)
loctps.gov,Federal - Legislative,Library of Congress,Library of Congress,Washington,DC,security@loc.gov
nativeamericanheritagemonth.gov,Federal - Legislative,Library of Congress,Library of Congress,Washington,DC,security@loc.gov
read.gov,Federal - Legislative,Library of Congress,Library of Congress,Washington,DC,security@loc.gov
section108.gov,Federal - Legislative,Library of Congress,Library of Congress,Washington,DC,security@loc.gov
thomas.gov,Federal - Legislative,Library of Congress,Library of Congress,Washington,DC,security@loc.gov
tps.gov,Federal - Legislative,Library of Congress,Library of Congress,Washington,DC,(blank)
unitedstatescongress.gov,Federal - Legislative,Library of Congress,Library of Congress,Washington,DC,security@loc.gov
uscongress.gov,Federal - Legislative,Library of Congress,Library of Congress,Washington,DC,security@loc.gov
womenshistorymonth.gov,Federal - Legislative,Library of Congress,Library of Congress,Washington,DC,security@loc.gov
macpac.gov,Federal - Legislative,Medicaid and CHIP Payment and Access Commission,Medicaid and CHIP Payment and Access Commission,Washington,DC,IT.Support@macpac.gov
medpac.gov,Federal - Legislative,Medicare Payment Advisory Commission,Medicare Payment Advisory Commission,Washington,DC,(blank)
compliance.gov,Federal - Legislative,Office of Congressional Workplace Rights,Congressional Office of Compliance,Washington,DC,mark.kruger@ocwr.gov
ocwr.gov,Federal - Legislative,Office of Congressional Workplace Rights,Office of Congressional Workplace Rights,Washington,DC,mark.kruger@ocwr.gov
coil.gov,Federal - Legislative,Open World Leadership Center,Congressional Office for International Leadership,Washington,DC,richard.martins@mail.house.gov
openworld.gov,Federal - Legislative,Open World Leadership Center,The Open World Leadership Center,Washington,DC,Richard.Martins@mail.house.gov
stennis.gov,Federal - Legislative,Stennis Center for Public Service,John C. Stennis Center for Public Service,Starkville,MS,(blank)
assistantdemocraticleader.gov,Federal - Legislative,The Legislative Branch,US House of Representatives,Washington,DC,richard.martins@mail.house.gov
cecc.gov,Federal - Legislative,The Legislative Branch,Congressional Executive Commission on China,Washington,DC,richard.martins@mail.house.gov
china-commission.gov,Federal - Legislative,The Legislative Branch,Congressional-Executive Commission on China,Washington,DC,(blank)
chinacommission.gov,Federal - Legislative,The Legislative Branch,Congressional-Executive Commission on China,Washington,MD,(blank)
csce.gov,Federal - Legislative,The Legislative Branch,Commission on Security and Cooperation in Europe,Washington,DC,richard.martins@mail.house.gov
democraticleader.gov,Federal - Legislative,The Legislative Branch,US House of Representatives,Washington,DC,richard.martins@mail.house.gov
democraticwhip.gov,Federal - Legislative,The Legislative Branch,Democratic Whip's Office,Washington,DC,richard.martins@mail.house.gov
democrats.gov,Federal - Legislative,The Legislative Branch,House Democratic Caucus,Washington,DC,richard.martins@mail.house.gov
dems.gov,Federal - Legislative,The Legislative Branch,House Democratic Caucus,Washington,DC,richard.martins@mail.house.gov
gop.gov,Federal - Legislative,The Legislative Branch,House Republican Conference,Washington,DC,richard.martins@mail.house.gov
gopleader.gov,Federal - Legislative,The Legislative Branch,Office of the House Republican Leader,Washington,DC,richard.martins@mail.house.gov
gopwhip.gov,Federal - Legislative,The Legislative Branch,US House of Representatives,Washington,DC,richard.martins@mail.house.gov
housecommunications.gov,Federal - Legislative,The Legislative Branch,US House of Representatives,Washington,DC,richard.martins@mail.house.gov
housedemocrats.gov,Federal - Legislative,The Legislative Branch,House Democratic Caucus,Washington,DC,richard.martins@mail.house.gov
housedems.gov,Federal - Legislative,The Legislative Branch,House Democratic Caucus,Washington,DC,richard.martins@mail.house.gov
housed.gov,Federal - Legislative,The Legislative Branch,US House of Representatives,Washington,DC,richard.martins@mail.house.gov
house.gov,Federal - Legislative,The Legislative Branch,US House of Representatives,Washington,DC,richard.martins@mail.house.gov
houselive.gov,Federal - Legislative,The Legislative Branch,US House of Representatives,Washington,DC,richard.martins@mail.house.gov
housenewsletters.gov,Federal - Legislative,The Legislative Branch,US House of Representatives,Washington,DC,richard.martins@mail.house.gov
jct.gov,Federal - Legislative,The Legislative Branch,"The Joint Committee on Taxation, United States Congress",Washington,DC,(blank)
majorityleader.gov,Federal - Legislative,The Legislative Branch,Office of the Majority Leader,Washington,DC,richard.martins@mail.house.gov
majoritywhip.gov,Federal - Legislative,The Legislative Branch,Office of the Majority Whip,Washington,DC,richard.martins@mail.house.gov
minoritywhip.gov,Federal - Legislative,The Legislative Branch,US House of Representatives,Washington,DC,richard.martins@mail.house.gov
ppdcecc.gov,Federal - Legislative,The Legislative Branch,Congressional-Executive Commission on China,Washington,DC,(blank)
republicanleader.gov,Federal - Legislative,The Legislative Branch,US House of Representatives,Washington,DC,richard.martins@mail.house.gov
republicans.gov,Federal - Legislative,The Legislative Branch,House Republican Conference,Washington,DC,richard.martins@mail.house.gov
republicanwhip.gov,Federal - Legislative,The Legislative Branch,US House of Representatives,Washington,DC,richard.martins@mail.house.gov
speaker.gov,Federal - Legislative,The Legislative Branch,Office of the Speaker,Washington,DC,richard.martins@mail.house.gov
taxreform.gov,Federal - Legislative,The Legislative Branch,US House of Representatives,Washington,DC,richard.martins@mail.house.gov
tmdbhouse.gov,Federal - Legislative,The Legislative Branch,US House of Representatives,Washington,DC,(blank)
ushouse.gov,Federal - Legislative,The Legislative Branch,US House of Representatives,Washington,DC,richard.martins@mail.house.gov
ushr.gov,Federal - Legislative,The Legislative Branch,US House of Representatives,Washington,DC,richard.martins@mail.house.gov
uscapitolpolice.gov,Federal - Legislative,U.S. Capitol Police,U.S. Capitol Police,Washington,DC,OIS-Security@uscp.gov
uscp.gov,Federal - Legislative,U.S. Capitol Police,U.S. Capitol Police,Washington,DC,OIS-Security@uscp.gov
uscirf.gov,Federal - Legislative,U.S. Commission on International Religious Freedom,U.S. Commission on International Religious Freedom,Washington,DC,tkraemer@uscirf.gov
america250.gov,Federal - Legislative,U.S. Semiquincentennial Commission,United States Semiquincentennial Commission,Alexandria,VA,domain_security@america250.gov
